name	author	enable	local	remote_repository	remote_commit	remote_path
bamfdetect-cythosia	Brian Wallace	FALSE	bamfdetect/cythosia.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/cythosia.yara
bamfdetect-darkcomet	Brian Wallace	FALSE	bamfdetect/darkcomet.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/darkcomet.yara
bamfdetect-dendroid	Brian Wallace	FALSE	bamfdetect/dendroid.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/dendroid.yara
bamfdetect-dexter	Brian Wallace	FALSE	bamfdetect/dexter.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/dexter.yara
bamfdetect-diamondfox	Brian Wallace	FALSE	bamfdetect/diamondfox.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/diamondfox.yara
bamfdetect-easterjackpos	Brian Wallace	FALSE	bamfdetect/easterjackpos.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/easterjackpos.yara
bamfdetect-elise	Brian Wallace	FALSE	bamfdetect/elise.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/elise.yara
bamfdetect-evora	Brian Wallace	FALSE	bamfdetect/evora.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/evora.yara
bamfdetect-genome	Brian Wallace	FALSE	bamfdetect/genome.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/genome.yara
bamfdetect-glassrat	Brian Wallace	FALSE	bamfdetect/glassrat.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/glassrat.yara
bamfdetect-herpes	Brian Wallace	FALSE	bamfdetect/herpes.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/herpes.yara
bamfdetect-jackpos	Brian Wallace	FALSE	bamfdetect/jackpos.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/jackpos.yara
bamfdetect-maazben	Brian Wallace	FALSE	bamfdetect/maazben.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/maazben.yara
bamfdetect-madnesspro	Brian Wallace	FALSE	bamfdetect/madnesspro.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/madnesspro.yara
bamfdetect-nanocore	Brian Wallace	FALSE	bamfdetect/nanocore.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/nanocore.yara
bamfdetect-njrat	Brian Wallace	FALSE	bamfdetect/njrat.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/njrat.yara
bamfdetect-pbot	Brian Wallace	FALSE	bamfdetect/pbot.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/pbot.yara
bamfdetect-poisonivy	Brian Wallace	FALSE	bamfdetect/poisonivy.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/poisonivy.yara
bamfdetect-pony	Brian Wallace	FALSE	bamfdetect/pony.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/pony.yara
bamfdetect-projecthook	Brian Wallace	FALSE	bamfdetect/projecthook.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/projecthook.yara
bamfdetect-solarbot	Brian Wallace	FALSE	bamfdetect/solarbot.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/solarbot.yara
bamfdetect-vertexnet	Brian Wallace	FALSE	bamfdetect/vertexnet.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/vertexnet.yara
bamfdetect-vskimmer	Brian Wallace	FALSE	bamfdetect/vskimmer.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/vskimmer.yara
bamfdetect-xtreme	Brian Wallace	FALSE	bamfdetect/xtreme.yara	https://github.com/bwall/bamfdetect	refs/heads/master	BAMF_Detect/modules/yara/xtreme.yara
bartblaze-apt-confucius-b	Bart P	FALSE	bartblaze/APT/Confucius_B.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/APT/Confucius_B.yar
bartblaze-apt-cotx-rat	Bart P	FALSE	bartblaze/APT/Cotx_RAT.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/APT/Cotx_RAT.yar
bartblaze-apt-royalroad-rtf	Bart P	FALSE	bartblaze/APT/RoyalRoad_RTF.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/APT/RoyalRoad_RTF.yar
bartblaze-crimeware-andromeda	Bart P	FALSE	bartblaze/crimeware/Andromeda.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Andromeda.yar
bartblaze-crimeware-arechclient	Bart P	FALSE	bartblaze/crimeware/ArechClient.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/ArechClient.yar
bartblaze-crimeware-arechclient-campaign-july2021	Bart P	FALSE	bartblaze/crimeware/ArechClient_Campaign_July2021.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/ArechClient_Campaign_July2021.yar
bartblaze-crimeware-avemaria	Bart P	FALSE	bartblaze/crimeware/AveMaria.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/AveMaria.yar
bartblaze-crimeware-bazarbackdoor	Bart P	FALSE	bartblaze/crimeware/BazarBackdoor.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/BazarBackdoor.yar
bartblaze-crimeware-bazarloader	Bart P	FALSE	bartblaze/crimeware/BazarLoader.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/BazarLoader.yar
bartblaze-crimeware-crunchyroll	Bart P	FALSE	bartblaze/crimeware/CrunchyRoll.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/CrunchyRoll.yar
bartblaze-crimeware-ganelp	Bart P	FALSE	bartblaze/crimeware/Ganelp.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Ganelp.yar
bartblaze-crimeware-icedid	Bart P	FALSE	bartblaze/crimeware/IcedID.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/IcedID.yar
bartblaze-crimeware-jssloader	Bart P	FALSE	bartblaze/crimeware/JSSLoader.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/JSSLoader.yar
bartblaze-crimeware-jupyter	Bart P	FALSE	bartblaze/crimeware/Jupyter.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Jupyter.yar
bartblaze-crimeware-keybase	Bart P	FALSE	bartblaze/crimeware/KeyBase.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/KeyBase.yar
bartblaze-crimeware-lnkr	Bart P	FALSE	bartblaze/crimeware/LNKR.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/LNKR.yar
bartblaze-crimeware-monero-compromise	Bart P	FALSE	bartblaze/crimeware/Monero_Compromise.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Monero_Compromise.yar
bartblaze-crimeware-parallax	Bart P	FALSE	bartblaze/crimeware/Parallax.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Parallax.yar
bartblaze-crimeware-purplefox	Bart P	FALSE	bartblaze/crimeware/PurpleFox.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/PurpleFox.yar
bartblaze-crimeware-redline	Bart P	FALSE	bartblaze/crimeware/RedLine.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/RedLine.yar
bartblaze-crimeware-redline-campaign-june2021	Bart P	FALSE	bartblaze/crimeware/RedLine_Campaign_June2021.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/RedLine_Campaign_June2021.yar
bartblaze-crimeware-systembc	Bart P	FALSE	bartblaze/crimeware/SystemBC.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/SystemBC.yar
bartblaze-crimeware-unk-br-banker	Bart P	FALSE	bartblaze/crimeware/Unk_BR_Banker.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Unk_BR_Banker.yar
bartblaze-crimeware-unk-crime-downloader-1	Bart P	FALSE	bartblaze/crimeware/Unk_Crime_Downloader_1.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Unk_Crime_Downloader_1.yar
bartblaze-crimeware-unk-desktoploader	Bart P	FALSE	bartblaze/crimeware/Unk_DesktopLoader.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/Unk_DesktopLoader.yar
bartblaze-crimeware-zloader	Bart P	FALSE	bartblaze/crimeware/ZLoader.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/crimeware/ZLoader.yar
bartblaze-generic-autoit	Bart P	FALSE	bartblaze/generic/AutoIT.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/AutoIT.yar
bartblaze-generic-enigmastub	Bart P	FALSE	bartblaze/generic/EnigmaStub.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/EnigmaStub.yar
bartblaze-generic-generic-phishing-pdf	Bart P	FALSE	bartblaze/generic/Generic_Phishing_PDF.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/Generic_Phishing_PDF.yar
bartblaze-generic-hidden	Bart P	FALSE	bartblaze/generic/Hidden.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/Hidden.yar
bartblaze-generic-ieuser-author-doc	Bart P	FALSE	bartblaze/generic/IEuser_author_doc.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/IEuser_author_doc.yar
bartblaze-generic-lnk-ruleset	Bart P	FALSE	bartblaze/generic/LNK_Ruleset.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/LNK_Ruleset.yar
bartblaze-generic-malscript-tricks	Bart P	FALSE	bartblaze/generic/MalScript_Tricks.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/MalScript_Tricks.yar
bartblaze-generic-minitor	Bart P	FALSE	bartblaze/generic/MiniTor.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/MiniTor.yar
bartblaze-generic-olefile-in-cad-fas-lsp	Bart P	FALSE	bartblaze/generic/OLEfile_in_CAD_FAS_LSP.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/OLEfile_in_CAD_FAS_LSP.yar
bartblaze-generic-pyinstaller	Bart P	FALSE	bartblaze/generic/PyInstaller.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/PyInstaller.yar
bartblaze-generic-rclone	Bart P	FALSE	bartblaze/generic/Rclone.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/Rclone.yar
bartblaze-generic-vmprotectstub	Bart P	FALSE	bartblaze/generic/VMProtectStub.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/VMProtectStub.yar
bartblaze-generic-webshell-in-image	Bart P	FALSE	bartblaze/generic/Webshell_in_image.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/generic/Webshell_in_image.yar
bartblaze-hacktools-adfind	Bart P	FALSE	bartblaze/hacktools/Adfind.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Adfind.yar
bartblaze-hacktools-createminidump	Bart P	FALSE	bartblaze/hacktools/CreateMiniDump.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/CreateMiniDump.yar
bartblaze-hacktools-defendercontrol	Bart P	FALSE	bartblaze/hacktools/DefenderControl.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/DefenderControl.yar
bartblaze-hacktools-gmer	Bart P	FALSE	bartblaze/hacktools/Gmer.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Gmer.yar
bartblaze-hacktools-gmer-driver	Bart P	FALSE	bartblaze/hacktools/Gmer_Driver.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Gmer_Driver.yar
bartblaze-hacktools-hiddenvnc	Bart P	FALSE	bartblaze/hacktools/HiddenVNC.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/HiddenVNC.yar
bartblaze-hacktools-iisraid	Bart P	FALSE	bartblaze/hacktools/IISRaid.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/IISRaid.yar
bartblaze-hacktools-impacket	Bart P	FALSE	bartblaze/hacktools/Impacket.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Impacket.yar
bartblaze-hacktools-kportscan	Bart P	FALSE	bartblaze/hacktools/KPortScan.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/KPortScan.yar
bartblaze-hacktools-lazagne	Bart P	FALSE	bartblaze/hacktools/LaZagne.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/LaZagne.yar
bartblaze-hacktools-nlbrute	Bart P	FALSE	bartblaze/hacktools/NLBrute.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/NLBrute.yar
bartblaze-hacktools-powertool	Bart P	FALSE	bartblaze/hacktools/PowerTool.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/PowerTool.yar
bartblaze-hacktools-rdpwrap	Bart P	FALSE	bartblaze/hacktools/RDPWrap.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/RDPWrap.yar
bartblaze-hacktools-responder	Bart P	FALSE	bartblaze/hacktools/Responder.yar	https://github.com/bartblaze/Yara-rules	refs/heads/master	rules/hacktools/Responder.yar
